#feat_name	source_int	mapped_int	source_id	mapped_id	source_length	mapped_length	source_start	source_stop	source_strand	source_sub_start	source_sub_stop	mapped_start	mapped_stop	mapped_strand	coverage	recip	asm_unit	
Line:19	1	1	chr17	chr17	1001	1001	38842384	38843384	+	38842384	38843384	38549582	38550582	+	1.00000	First Pass	Primary Assembly
Line:20	1	1	chr19	chr19	1001	771	26335547	26336547	+	26335547	26336317	26483918	26484688	+	0.77023	First Pass	Primary Assembly
Line:21	1	1	chr19	chr19	1001	1001	48281353	48282353	+	48281353	48282353	48403076	48404076	+	1.00000	First Pass	Primary Assembly
Line:22	1	1	chr9	chr9	1001	1001	42649273	42650273	+	42649273	42650273	45854386	45855386	+	1.00000	First Pass	Primary Assembly
Line:23	1	1	chr15	chr15	1001	1001	48875892	48876892	+	48875892	48876892	49669328	49670328	+	1.00000	First Pass	Primary Assembly
Line:24	1	1	chr17	chr17	1001	1001	5842621	5843621	+	5842621	5843621	5575383	5576383	+	1.00000	First Pass	Primary Assembly
Line:25	1	1	chr6	chr6	1001	1001	49730475	49731475	+	49730475	49731475	50331495	50332495	+	1.00000	First Pass	Primary Assembly
Line:26	1	1	chr5	chr5	1001	1001	36866547	36867547	+	36866547	36867547	37156340	37157340	+	1.00000	First Pass	Primary Assembly
Line:27	1	1	chr1	chr1	1001	1001	43268934	43269934	+	43268934	43269934	44132287	44133287	+	1.00000	First Pass	Primary Assembly
Line:28	1	1	chr20	chr20	1001	1001	26565480	26566480	+	26565480	26566480	27727007	27728007	+	1.00000	First Pass	Primary Assembly
Line:29	1	1	chr2	chr2	1001	1001	45404428	45405428	+	45404428	45405428	42329547	42330547	+	1.00000	First Pass	Primary Assembly
Line:30	1	1	chr13	chr13	1001	1001	29716815	29717815	+	29716815	29717815	30914441	30915441	+	1.00000	First Pass	Primary Assembly
Line:31	1	1	chr17	chr17	1001	1001	37389176	37390176	+	37389176	37390176	37100471	37101471	+	1.00000	First Pass	Primary Assembly
Line:32	1	1	chr1	chr1	1001	1001	50879180	50880180	+	50879180	50880180	51764383	51765383	+	1.00000	First Pass	Primary Assembly
Line:33	1	1	chr18	chr18	1001	1001	55437840	55438840	+	55437840	55438840	51164155	51165155	+	1.00000	First Pass	Primary Assembly
Line:34	1	1	chr15	chr15	1001	1001	46695764	46696764	+	46695764	46696764	47475817	47476817	+	1.00000	First Pass	Primary Assembly
Line:35	1	1	chr1	chr1	1001	1001	45319861	45320861	+	45319861	45320861	46191319	46192319	+	1.00000	First Pass	Primary Assembly
Line:36	1	1	chr9	chr9	1001	1001	40633306	40634306	+	40633306	40634306	43310190	43311190	+	1.00000	First Pass	Primary Assembly
Line:37	1	1	chr16	chr16	1001	1001	26972685	26973685	+	26972685	26973685	27317625	27318625	+	1.00000	First Pass	Primary Assembly
Line:38	1	1	chr1	chr1	1001	1001	776486	777486	+	776486	777486	776785	777785	+	1.00000	First Pass	Primary Assembly
Line:39	1	1	chr9	chr9	1001	1001	41962063	41963063	+	41962063	41963063	45158143	45159143	+	1.00000	First Pass	Primary Assembly
Line:40	1	1	chr9	chr9	1001	1001	42165344	42166344	+	42165344	42166344	45361451	45362451	+	1.00000	First Pass	Primary Assembly
Line:41	1	1	chr9	chr9	1001	1001	42206076	42207076	+	42206076	42207076	45402184	45403184	+	1.00000	First Pass	Primary Assembly
Line:42	1	1	chr17	chr17	1001	1001	37389267	37390267	+	37389267	37390267	37100562	37101562	+	1.00000	First Pass	Primary Assembly
Line:43	1	1	chr19	chr19	1001	749	26335569	26336569	+	26335569	26336317	26483940	26484688	+	0.74825	First Pass	Primary Assembly
Line:44	1	1	chr2	chr2	1001	1001	45403168	45404168	+	45403168	45404168	42328287	42329287	+	1.00000	First Pass	Primary Assembly
Line:45	1	1	chr19	chr19	1001	1001	48260570	48261570	+	48260570	48261570	48382293	48383293	+	1.00000	First Pass	Primary Assembly
Line:46	1	1	chr2	chr2	1001	1001	45305465	45306465	+	45305465	45306465	42230567	42231567	+	1.00000	First Pass	Primary Assembly
Line:47	1	1	chr18	chr18	1001	1001	3861727	3862727	+	3861727	3862727	3883412	3884412	+	1.00000	First Pass	Primary Assembly
Line:48	1	1	chr11	chr11	1001	1001	37297966	37298966	+	37297966	37298966	32849453	32850453	+	1.00000	First Pass	Primary Assembly
Line:49	1	1	chr10	chr10	1001	1001	38201111	38202111	+	38201111	38202111	38735087	38736087	+	1.00000	First Pass	Primary Assembly
Line:50	1	1	chr12	chr12	1001	1001	952538	953538	+	952538	953538	957501	958501	+	1.00000	First Pass	Primary Assembly
Line:51	1	1	chr8	chr8	1001	1001	24449760	24450760	+	24449760	24450760	24373016	24374016	+	1.00000	First Pass	Primary Assembly
Line:52	1	1	chr13	chr13	1001	1001	25955961	25956961	+	25955961	25956961	27142751	27143751	+	1.00000	First Pass	Primary Assembly
Line:53	1	1	chr9	chr9	1001	1001	45481182	45482182	+	45481182	45482182	48679455	48680455	+	1.00000	First Pass	Primary Assembly
Line:54	1	NULL	chr20	NULL	1001	NULL	35179444	35180444	+	NOMAP	ALIGNGAP	
Line:55	1	1	chr16	chr16	1001	1001	15648864	15649864	+	15648864	15649864	15830398	15831398	+	1.00000	First Pass	Primary Assembly
Line:56	1	1	chr15	chr15	1001	1001	15112737	15113737	+	15112737	15113737	15137552	15138552	+	1.00000	First Pass	Primary Assembly
Line:57	1	1	chr4	chr4	1001	1001	1208437	1209437	+	1208437	1209437	1247482	1248482	+	1.00000	First Pass	Primary Assembly
Line:58	1	1	chr9	chr9	1001	1001	41367866	41368866	+	41367866	41368866	44083604	44084604	+	1.00000	First Pass	Primary Assembly
Line:59	1	1	chr18	chr18	1001	1001	60335069	60336069	+	60335069	60336069	56054405	56055405	+	1.00000	First Pass	Primary Assembly
Line:60	1	1	chr7	chr7	1001	1001	41664417	41665417	+	41664417	41665417	41610705	41611705	+	1.00000	First Pass	Primary Assembly
Line:61	1	1	chr7	chr7	1001	1001	37780541	37781541	+	37780541	37781541	37685716	37686716	+	1.00000	First Pass	Primary Assembly
Line:62	1	1	chr9	chr9	1001	1001	40527366	40528366	+	40527366	40528366	43204483	43205483	+	1.00000	First Pass	Primary Assembly
Line:63	1	1	chr15	chr15	1001	1001	49687801	49688801	+	49687801	49688801	50486475	50487475	+	1.00000	First Pass	Primary Assembly
Line:64	1	1	chr1	chr9	1001	1001	40805912	40806912	+	40805912	40806912	19852796	19853796	-	1.00000	First Pass	Primary Assembly
Line:65	1	1	chr16	chr16	1001	1001	21728093	21729093	+	21728093	21729093	18571459	18572459	-	1.00000	First Pass	Primary Assembly
Line:66	1	1	chr5	chr5	1001	1001	36992808	36993808	+	36992808	36993808	37282600	37283600	+	1.00000	First Pass	Primary Assembly
Line:67	1	1	chr16	chr16	1001	1001	32021851	32022851	+	32021851	32022851	32511389	32512389	+	1.00000	First Pass	Primary Assembly
Line:68	1	1	chr5	chr5	1001	1001	34618457	34619457	+	34618457	34619457	34889138	34890138	+	1.00000	First Pass	Primary Assembly
Line:69	1	1	chr14	chr14	1001	1001	10076996	10077996	+	10076996	10077996	9869495	9870495	+	1.00000	First Pass	Primary Assembly
Line:70	1	1	chr20	chr20	1001	1001	25051434	25052434	+	25051434	25052434	26202256	26203256	+	1.00000	First Pass	Primary Assembly
Line:71	1	1	chr6	chr6	1001	1001	15240307	15241307	+	15240307	15241307	15282451	15283451	+	1.00000	First Pass	Primary Assembly
Line:72	1	1	chr2	chr2	1001	1001	27488790	27489790	+	27488790	27489790	26299259	26300259	-	1.00000	First Pass	Primary Assembly
Line:73	1	1	chr9	chr9	1001	1001	26010688	26011688	+	26010688	26011688	28487326	28488326	+	1.00000	First Pass	Primary Assembly
Line:74	1	1	chr2	chr2	1001	1001	45259282	45260282	+	45259282	45260282	42184391	42185391	+	1.00000	First Pass	Primary Assembly
Line:75	1	1	chr15	chr15	1001	1001	15039818	15040818	+	15039818	15040818	15064633	15065633	+	1.00000	First Pass	Primary Assembly
Line:76	1	1	chr11	chr11	1001	1001	37297995	37298995	+	37297995	37298995	32849482	32850482	+	1.00000	First Pass	Primary Assembly
Line:77	1	1	chr6	chr6	1001	1001	47315308	47316308	+	47315308	47316308	47846555	47847555	+	1.00000	First Pass	Primary Assembly
Line:78	1	1	chr20	chr20	1001	1001	42889315	42890315	+	42889315	42890315	44005764	44006764	+	1.00000	First Pass	Primary Assembly
Line:79	1	1	chr16	chr16	1001	1001	37057858	37058858	+	37057858	37058858	37550366	37551366	+	1.00000	First Pass	Primary Assembly
Line:80	1	1	chr17	chr17	1001	1001	11872712	11873712	+	11872712	11873712	11593599	11594599	+	1.00000	First Pass	Primary Assembly
Line:81	1	1	chr20	chr20	1001	1001	43585431	43586431	+	43585431	43586431	44711454	44712454	+	1.00000	First Pass	Primary Assembly
Line:82	1	1	chr2	chr2	1001	1001	47471051	47472051	+	47471051	47472051	44383493	44384493	+	1.00000	First Pass	Primary Assembly
Line:83	1	1	chr13	chr13	1001	1001	42158774	42159774	+	42158774	42159774	43598812	43599812	+	1.00000	First Pass	Primary Assembly
Line:84	1	1	chr18	chr18	1001	1001	829461	830461	+	829461	830461	829802	830802	+	1.00000	First Pass	Primary Assembly
Line:85	1	1	chr16	chr16	1001	1001	32636115	32637115	+	32636115	32637115	33137565	33138565	+	1.00000	First Pass	Primary Assembly
Line:86	1	1	chr15	chr15	1001	1001	6364186	6365186	+	6364186	6365186	6383297	6384297	+	1.00000	First Pass	Primary Assembly
Line:87	1	1	chr9	chr9	1001	1001	42464120	42465120	+	42464120	42465120	45660231	45661231	+	1.00000	First Pass	Primary Assembly
Line:88	1	1	chr17	chr17	1001	1001	17844677	17845677	+	17844677	17845677	17470707	17471707	+	1.00000	First Pass	Primary Assembly
Line:89	1	1	chr14	chr14	1001	1001	10068408	10069408	+	10068408	10069408	9860907	9861907	+	1.00000	First Pass	Primary Assembly
Line:90	1	1	chr9	chr9	1001	1001	42369867	42370867	+	42369867	42370867	45565978	45566978	+	1.00000	First Pass	Primary Assembly
Line:91	1	1	chr1	chr1	1001	1001	43342740	43343740	+	43342740	43343740	44206095	44207095	+	1.00000	First Pass	Primary Assembly
Line:92	1	1	chr9	chr9	1001	1001	8925434	8926434	+	8925434	8926434	8875404	8876404	+	1.00000	First Pass	Primary Assembly
Line:93	1	1	chr19	chr19	1001	1001	731811	732811	+	731811	732811	768772	769772	+	1.00000	First Pass	Primary Assembly
Line:94	1	1	chr10	chr10	1001	1001	28593323	28594323	+	28593323	28594323	29346613	29347613	+	1.00000	First Pass	Primary Assembly
Line:95	1	1	chr13	chr13	1001	1001	34833207	34834207	+	34833207	34834207	36041902	36042902	+	1.00000	First Pass	Primary Assembly
Line:96	1	1	chr1	chr1	1001	1001	50799741	50800741	+	50799741	50800741	51685288	51686288	+	1.00000	First Pass	Primary Assembly
